Name,Description,Category,Sub-category,Price,Company Name
Hyperx Alloy Elite,"Hyperx Alloy Elite Rgb Cherry Mx Blue Switches
",Keyboards & Mouse,Mechanical Keyboards,13200.0,Hyperx
HyperX Alloy ,"HyperX Alloy Origins 60 Mechanical Gaming Keyboard Red Linear Switches (4P5N4AA-ABA)
",Keyboards & Mouse,Mechanical Keyboards,8500.0,HyperX
Logitech G512 ,"Logitech G512 Cliky Rgb Mechanical Keyboard-Gx Blue Switch (920-008949)
",Keyboards & Mouse,Mechanical Keyboards,8150.0,Logitech
Logitech G515 Lightspeed ,"Logitech G515 Lightspeed TKL Wireless Gaming Keyboard White (920-012581)
",Keyboards & Mouse,Mechanical Keyboards,1419510700.0,Logitech
Razer Huntsman Mini ,"Razer Huntsman Mini Gaming Keyboard Linear Optical Red Switches (RZ03-03390400-R3M1)

",Keyboards & Mouse,Mechanical Keyboards,8350.0,Razer
Logitech G Pro Superlight,The professional choice for esport icons.,Keyboards & Mouse,Optical Mouse,12999.0,SmartCart
Ant Esports GM100 Rgb,"Ant Esports GM100 Rgb Gaming Mouse (Black) (GM100-RGB-BLACK)
",Keyboards & Mouse,Optical Mouse,690.0,Ant Esports 
CloudNine White Ergonomic Mouse,"A fully ergonomic mouse perfectly designed to reduce wrist strain, featuring a pristine white finish.",Keyboards & Mouse,Optical Mouse,4999.0,FrostTech
Glacier Gaming Mouse,Ultra-lightweight gaming mouse on a stunning white base. Premium PTFE feet for smooth gliding.,Keyboards & Mouse,Optical Mouse,8499.0,FrostTech
Frostbite Wireless Mouse,Clean and minimalistic white wireless mouse for office and everyday tasks. Excellent battery life.,Keyboards & Mouse,Optical Mouse,3299.0,FrostTech
Snow Leopard Pro Mouse,Professional grade optical mouse with high polling rate and customizable buttons. White edition.,Keyboards & Mouse,Optical Mouse,11099.0,FrostTech
MSI Katana 15 Gaming Laptop,"MSI Katana 15 with Intel Core i9, NVIDIA GeForce RTX, 144Hz display, per-key RGB keyboard.",Laptops,Gaming Laptops,94990.0,MSI
ASUS ROG Strix G16,"ASUS ROG Strix G16 with per-key RGB, ROG Strix branding, high-refresh gaming display.",Laptops,Gaming Laptops,164990.0,ASUS
Acer Predator Helios Neo AI Laptop,"Acer Predator AI Laptop with Windows 11, Intel Core i7, NVIDIA GeForce RTX, RGB keyboard.",Laptops,Gaming Laptops,129990.0,Acer
HP Pavilion 15 Laptop,"HP Pavilion 15 with AMD Ryzen 5 5000 Series, slim design, silver finish.",Laptops,Ultrabooks,54990.0,HP
ASUS Vivobook 15,"ASUS Vivobook 15 with vibrant OLED display, thin and light design.",Laptops,Ultrabooks,45990.0,ASUS
Dell Inspiron 15,Dell Inspiron 15 everyday laptop for students and professionals.,Laptops,Ultrabooks,42990.0,Dell
Dell Latitude 5440,Dell Latitude 5440 business laptop with robust build quality.,Laptops,Workstation Laptops,89990.0,Dell
HP EliteBook 840 G9,HP EliteBook 840 G9 premium business ultrabook with sleek silver design.,Laptops,Workstation Laptops,79990.0,HP
Lenovo ThinkPad E14 Gen 5,"Lenovo ThinkPad E14 with iconic TrackPoint, spill-resistant keyboard, MIL-STD tested.",Laptops,Workstation Laptops,68990.0,Lenovo
LG UltraGear 34GS95QE-B 34 Inch ,"LG UltraGear 34GS95QE-B 34 Inch Gaming Monitor (34GS95QE-B)
",Monitors,Curved Monitors,106900.0,LG
Samsung Odyssey G5 Lc34G55T,"Samsung Odyssey G5 Lc34G55Twwwxxl 34 Inch Curved Gaming Monitor (Lc34G55Twwwxxl)
",Monitors,Curved Monitors,32500.0,Samsung 
ASUS TUF Gaming VG27AQ,ASUS TUF Gaming 27-inch WQHD monitor with ELMB Sync and 165Hz refresh rate.,Monitors,Gaming Monitors,24990.0,ASUS
Acer Nitro XV272U,Acer Nitro 27-inch WQHD gaming monitor with vivid colours and fast response time.,Monitors,Gaming Monitors,22990.0,Acer
LG UltraGear 27GP850,LG UltraGear 27-inch Nano IPS gaming monitor with 1ms response time.,Monitors,Gaming Monitors,29990.0,LG
AOC AG276QZD2 27 Inch QD-OLED QHD ,AOC AG276QZD2 27 Inch QD-OLED QHD ,Monitors,Gaming Monitors,49900.0,AOC 
